id,titulo,preco,rating,disponibilidade,categoria,imagem_local
a22124811bfa8350,It's Only the Himalayas,£45.17,Two,In stock,Travel,data\imagens\a22124811bfa8350.jpg
ce60436f52c5ee68,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,Travel,data\imagens\ce60436f52c5ee68.jpg
f9705c362f070608,See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,Travel,data\imagens\f9705c362f070608.jpg
1809259a5a5f1d8d,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,In stock,Travel,data\imagens\1809259a5a5f1d8d.jpg
a94350ee74deaa07,Under the Tuscan Sun,£37.33,Three,In stock,Travel,data\imagens\a94350ee74deaa07.jpg
cc1936a9f4e93477,A Summer In Europe,£44.34,Two,In stock,Travel,data\imagens\cc1936a9f4e93477.jpg
48736df57e7bec9f,The Great Railway Bazaar,£30.54,One,In stock,Travel,data\imagens\48736df57e7bec9f.jpg
9e60929f521fa280,A Year in Provence (Provence #1),£56.88,Four,In stock,Travel,data\imagens\9e60929f521fa280.jpg
366a236aa1ea6f07,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,One,In stock,Travel,data\imagens\366a236aa1ea6f07.jpg
747cf7fca2ccdbd4,Neither Here nor There: Travels in Europe,£38.95,Three,In stock,Travel,data\imagens\747cf7fca2ccdbd4.jpg
228ba5e7577e1d49,"1,000 Places to See Before You Die",£26.08,Five,In stock,Travel,data\imagens\228ba5e7577e1d49.jpg
e00eb4fd7b871a48,Sharp Objects,£47.82,Four,In stock,Mystery,data\imagens\e00eb4fd7b871a48.jpg
19ed25f4641d5efd,"In a Dark, Dark Wood",£19.63,One,In stock,Mystery,data\imagens\19ed25f4641d5efd.jpg
5ee94540d0749ea0,The Past Never Ends,£56.50,Four,In stock,Mystery,data\imagens\5ee94540d0749ea0.jpg
f733e8c19d40ec2e,A Murder in Time,£16.64,One,In stock,Mystery,data\imagens\f733e8c19d40ec2e.jpg
c7b5183f4d1d4efe,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery,data\imagens\c7b5183f4d1d4efe.jpg
